input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			LINC02383
			AK3
			LINC01091
			RF00002
			ANXA2
			PKHD1
			JMJD1C
			LINC01489
			RF00477
			PRUNE2
			TMEM174
			ASS1P9
			LTBP1
			LINC02253
			OLFM2
			KIF26B-AS1
			SMYD2
			LINC00929
			RGS8
			FKBP1A
			CCDC178
			FTLP17
			FSCN1
			SGCD
			PROK2
			FBXL7
			BRWD1
			SOX6
			TXLNB
			POMZP3
			SMARCE1
			LINC02565
			BCLAF1P1
			SESTD1
			ELP4
			LRRC3B
			FGGY
			QSOX1
			IGSF23
			EFCAB1
			GNGT1
			LINC01799
			RPL34P1
			RASGRF2-AS1
			RICTOR
			CLDN10
			MAST4
			LMBR1
			AASDHPPT
			EIF4BP8
			CLDN14
			MTCYBP19
			SLC8A1-AS1
			AKIRIN2P1
			PLB1
			FMO7P
			RPL23AP84
			GDA
			ANAPC10P1
			PCDH10
			CDH13
			LARP1BP1
			EFTUD2
			TMEFF2
			LINC02041
			RUNX3
			LINC02582
			WDR91
			RSL24D1P5
			CD82
			RPL5P13
			RPL24P7
			TUT7
