input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
ERI3		GAPDHP24	ERI3
LINC02257		MAGI3	LINC02257
TGFBR2		TMEM232	TGFBR2
TTF1		SGCD	TTF1
VIM		MKNK1-AS1	VIM
DNAH6		FTLP1	DNAH6
WARS2P1		LINC00709	WARS2P1
FIGNL1		PDE11A	FIGNL1
KCNQ4		RNASEL	KCNQ4
CACNA1H		OR52I1	CACNA1H
SMARCA2		MRPL2P1	SMARCA2
SLC6A19		LINC02089	SLC6A19
RPL21P119		AFAP1-AS1	RPL21P119
CBLB		Z93403.1	CBLB
GPHN		RF00416	GPHN
THAP12P1		GRIN2A	THAP12P1
MED27		CTTNBP2	MED27
PKIG		CTDSPL	PKIG
MLLT3		FOXN2	MLLT3
FUT10		IQCF2	FUT10
STARD13		SI	STARD13
SRBD1		COX7A2P2	SRBD1
LINC01854		RF00045	LINC01854
HNRNPL		RPL29P32	HNRNPL
FOXP1		FAM166B	FOXP1
CLHC1		HNRNPA3P6	CLHC1
RUNX3		SOX5	RUNX3
FBXW7		EYS	FBXW7
EEF1A1P33		MTND2P9	EEF1A1P33
ST8SIA5		SIPA1L2	ST8SIA5
HIF1A		SLC1A2	HIF1A
AKAP1		MAN2A1	AKAP1
RPS27P16		LRPPRC	RPS27P16
RPSAP42		NRG1-IT3	RPSAP42
RPL31P57		EEF1GP4	RPL31P57
SIPA1L2		EXOC4	SIPA1L2
CCR9		UBE2V1P10	CCR9
LYRM1		HSD11B1	LYRM1
ZIC5		AKAP8P1	ZIC5
GLMN		IKZF2	GLMN
RAPGEF4		ZSWIM2	RAPGEF4
PIK3R4		PABPC1P11	PIK3R4
CUL4A		TEAD4	CUL4A
TRIM2		LINC01255	TRIM2
POLL		LINC02103	POLL
CD2BP2		BLOC1S6	CD2BP2
ZNF706		CKAP2P1	ZNF706
PI15		GRID1	PI15
CDC37		TACR1	CDC37
PARD3B		ANKRD44-IT1	PARD3B
B4GALT5		CCR9	B4GALT5
RPS6P15		PHF20	RPS6P15
RPSAP72		FAM98B	RPSAP72
RF00012		DPY19L4P2	RF00012
C1orf53		ATXN7L3B	C1orf53
ACTN2		RPS17P11	ACTN2
MCCC2		RF00026	MCCC2
AKAP6		LINC01923	AKAP6
AP3M1		RGS4	AP3M1
STIMATE-MUSTN1		HSPH1	STIMATE-MUSTN1
HDDC2		RAPGEF5	HDDC2
GSK3B		SCHLAP1	GSK3B
H2AFY		PCDH15	H2AFY
SLC2A10		SLC4A4	SLC2A10
PPIAP14		NBEAP1	PPIAP14
INPP4B		LYPLA1	INPP4B
NR3C2		PBOV1	NR3C2
VPS37B		LRP1B	VPS37B
SATB2		MAP3K9	SATB2
ITIH5		LINC02337	ITIH5
DCAF4L2		EIF3FP3	DCAF4L2
VPS54		SMOC2	VPS54
MICAL2		NYAP2	MICAL2
LIFR		CEND1P1	LIFR
EDEM1		TNS4	EDEM1
ITGA8		CEACAM1	ITGA8
Z97205.1		ZMIZ1	Z97205.1
MYOZ3		DYNC1I2	MYOZ3
FUCA1P1		ADGRB3	FUCA1P1
MSNP1		AKNAD1	MSNP1
MTND5P4		UST	MTND5P4
LINC01091		NPBWR1	LINC01091
RF00189		LINC00261	RF00189
SIPA1L1		UBE3C	SIPA1L1
RNF150		MTCYBP44	RNF150
HLA-DRB1		GHRH	HLA-DRB1
GUCY1A1		LCLAT1	GUCY1A1
CCDC18-AS1		GLCCI1	CCDC18-AS1
CCSER1		BLOC1S2	CCSER1
RORB		LINC02582	RORB
MN1		NEU3	MN1
PALLD		CDC42BPA	PALLD
MSR1		GNGT2	MSR1
C8orf34		SHISA6	C8orf34
LINC01712		TTLL5	LINC01712
LINC02118		EPG5	LINC02118
LINC02184		PDGFD	LINC02184
NUP35		INIP	NUP35
SMARCE1P4		CD48	SMARCE1P4
HTR2A		TENM2	HTR2A
NDC1		EPN2	NDC1
IRF9		ECHDC1	IRF9
B4GALT7		SEPT5	B4GALT7
LINC02339		BPIFB5P	LINC02339
SLC25A40		ITM2A	SLC25A40
DHX35		LINC00487	DHX35
KPNA2P2		LINC00525	KPNA2P2
CFAP61		LINC00861	CFAP61
BNIP3L		LINC02106	BNIP3L
NAMPT		BAZ1A	NAMPT
ARHGAP26		GASK1A	ARHGAP26
PPP1R2C		KLHL38	PPP1R2C
SSU72P8		CACNA2D3	SSU72P8
ZNF782		FAM76B	ZNF782
PDE2A		RPL32P35	PDE2A
BAZ2B		SLC36A4	BAZ2B
HSPE1P22		PDHX	HSPE1P22
ANKRD44		PRKX	ANKRD44
LINC01752		PLPP4	LINC01752
NTM		SNX18P2	NTM
MFAP3L		RF00017	MFAP3L
LINC00939		LINC01796	LINC00939
ELAVL2		LINC02351	ELAVL2
TPT1P8		KSR2	TPT1P8
MCTP2		MTCYBP6	MCTP2
FAM120A		NDUFB9P2	FAM120A
DGKI		CCBE1	DGKI
VWF		SMG6	VWF
CCDC7		RF00402	CCDC7
KNOP1P3		LRPAP1	KNOP1P3
LRRC37A7P		FABP5P5	LRRC37A7P
FRMD4B		LINC01709	FRMD4B
GRIK1-AS1		NENFP2	GRIK1-AS1
MTND4LP18		RABIF	MTND4LP18
CNTN4		C1orf112	CNTN4
CCDC182		IGBP1P5	CCDC182
EIF2AK1		RPS3AP42	EIF2AK1
BCL11B		LRMDA	BCL11B
SLC7A5P1		LINC00606	SLC7A5P1
BTBD9		LINC01137	BTBD9
ANKS1B		LINC01822	ANKS1B
CELF2		THAP12P9	CELF2
BACE2		TSHZ2	BACE2
ANO10		CYP2U1	ANO10
PPIAP66		NTRK3	PPIAP66
LINC02430		CRPPA-AS1	LINC02430
SOSTDC1		PGBD4P5	SOSTDC1
TOLLIP		FBXL13	TOLLIP
LRRC39		INPP5F	LRRC39
C7orf66		MRE11	C7orf66
THRSP		TEX36	THRSP
HNRNPA1P20		SP3	HNRNPA1P20
NCAM2		LINC01680	NCAM2
